name,combination,weights,cagr,risk
x431,"['EIRL', 'SDG', 'AGT']","[0.4, 0.4, 0.2]",3.9598503484886693,41.57303370786517
x432,"['EIRL', 'SDG', 'KXI']","[0.4, 0.4, 0.2]",5.568246361139484,40.44943820224719
x433,"['EIRL', 'SDG', 'IGSB']","[0.4, 0.4, 0.2]",5.134435613967092,41.57303370786517
x434,"['EIRL', 'SDG']","[0.4, 0.6000000000000001]",6.35031420401313,40.44943820224719
x435,"['EIRL', 'IWY']","[0.6000000000000001, 0.4]",11.668804050451588,39.02439024390244
x436,"['EIRL', 'URTH', 'IWY']","[0.6000000000000001, 0.2, 0.2]",10.463211958963225,40.0
x437,"['EIRL', 'URTH']","[0.6000000000000001, 0.4]",8.696305891947631,37.77777777777778
x438,"['EIRL', 'AGT', 'IWY']","[0.6000000000000001, 0.2, 0.2]",9.041608384302279,40.243902439024396
x439,"['EIRL', 'AGT', 'URTH']","[0.6000000000000001, 0.2, 0.2]",7.150630337486419,40.0
x440,"['EIRL', 'AGT']","[0.6000000000000001, 0.4]",5.236748582942319,42.68292682926829
x441,"['EIRL', 'KXI', 'IWY']","[0.6000000000000001, 0.2, 0.2]",9.82289091824875,39.02439024390244
x442,"['EIRL', 'KXI', 'URTH']","[0.6000000000000001, 0.2, 0.2]",8.10405541019219,40.74074074074074
x443,"['EIRL', 'KXI', 'AGT']","[0.6000000000000001, 0.2, 0.2]",6.429556016505122,43.90243902439025
x444,"['EIRL', 'KXI']","[0.6000000000000001, 0.4]",7.473842348586879,42.073170731707314
x445,"['EIRL', 'IGSB', 'IWY']","[0.6000000000000001, 0.2, 0.2]",9.272109780429783,41.46341463414634
x446,"['EIRL', 'IGSB', 'URTH']","[0.6000000000000001, 0.2, 0.2]",7.5682460710099875,39.25925925925926
x447,"['EIRL', 'IGSB', 'AGT']","[0.6000000000000001, 0.2, 0.2]",5.595245169696872,43.292682926829265
x448,"['EIRL', 'IGSB', 'KXI']","[0.6000000000000001, 0.2, 0.2]",6.741303541009347,41.46341463414634
x449,"['EIRL', 'IGSB']","[0.6000000000000001, 0.4]",5.938958191946675,41.46341463414634
x450,"['EIRL', 'SDG', 'IWY']","[0.6000000000000001, 0.2, 0.2]",8.716102320941843,35.95505617977528
x451,"['EIRL', 'SDG', 'URTH']","[0.6000000000000001, 0.2, 0.2]",6.568291365820422,38.20224719101123
x452,"['EIRL', 'SDG', 'AGT']","[0.6000000000000001, 0.2, 0.2]",3.7841363164447195,42.69662921348314
x453,"['EIRL', 'SDG', 'KXI']","[0.6000000000000001, 0.2, 0.2]",5.409110611556622,40.44943820224719
x454,"['EIRL', 'SDG', 'IGSB']","[0.6000000000000001, 0.2, 0.2]",4.97101447739432,41.57303370786517
x455,"['EIRL', 'SDG']","[0.6000000000000001, 0.4]",6.198578778558317,41.57303370786517
x456,"['EIRL', 'IWY']","[0.8, 0.2]",10.182167642551132,41.46341463414634
x457,"['EIRL', 'URTH']","[0.8, 0.2]",8.911390030997502,39.25925925925926
x458,"['EIRL', 'AGT']","[0.8, 0.2]",6.958470048274212,43.90243902439025
x459,"['EIRL', 'KXI']","[0.8, 0.2]",7.943027547770676,42.073170731707314
